noun, og_spell, eng, freq, stem
pallo, pallo, ball, high_frequency, no_stem_change
kirja, kirja, book, high_frequency, no_stem_change
keksi, keksi, biscuit, high_frequency, no_stem_change
kello, kello, watch, high_frequency, no_stem_change
pullo, pullo, bottle, high_frequency, no_stem_change
marja, marja, berry, high_frequency, no_stem_change
avain, avain, key, high_frequency, stem_change
puhelin, puhelin, phone, high_frequency, stem_change
sanomalehti, sanomalehti, newspaper, high_frequency, stem_change
kivi, kivi, rock, high_frequency, stem_change
kirje, kirje, letter, high_frequency, stem_change
v\u00e4line, väline, tool, high_frequency, stem_change
kangas, kangas, cloth, high_frequency, stem_change
taikasauva, taikasauva, magic_wand, low_frequency, no_stem_change
hammasharja, hammasharja, toothbrush, low_frequency, no_stem_change
korvakoru, korvakoru, earring, low_frequency, no_stem_change
mittanauha, mittanauha, tape_measure, low_frequency, no_stem_change
vispil\u00e4, vispilä, whisk, low_frequency, no_stem_change
ruuvimeisseli, ruuvimeisseli, screwdriver, low_frequency, no_stem_change
kampa, kampa, comb, low_frequency, stem_change
huistenkuivain, huistenkuivain, hair_dryer, low_frequency, stem_change
silitysrauta, silitysrauta, clothes_iron, low_frequency, stem_change
tupakansytytin, tupakansytytin, cigarette_lighter, low_frequency, stem_change
ananas, ananas, pineapple, low_frequency, stem_change
jakoavain, jakoavain, wrench, low_frequency, stem_change
